current_bb_id, branch_bb_id, continue_bb_id
0, -1, 1
1, 3, 2
2, 4, 3
3, -1, 4
4, 6, 5
5, 7, 6
6, -1, 7
7, 10, 8
8, 10, 9
9, 11, 10
10, -1, 11
11, 13, 12
12, 14, 13
13, -1, 14
14, 16, 15
15, 17, 16
16, -1, 17
17, 20, 18
18, 20, 19
19, 21, 20
20, -1, 21
21, 23, 22
22, 24, 23
23, -1, 24
24, 27, 25
25, 27, 26
26, 28, 27
27, -1, 28
28, 30, 29
29, 31, 30
30, -1, 31
31, 33, 32
32, 34, 33
33, 35, 34
34, -1, 35
35, 37, 36
36, 38, 37
37, -1, 38
38, 41, 39
39, 41, 40
40, 42, 41
41, -1, 42
42, 44, 43
43, 45, 44
44, -1, 45
45, 48, 46
46, 48, 47
47, 49, 48
48, -1, 49
49, 52, 50
50, 52, 51
51, 53, 52
52, -1, 53
53, 55, 54
54, 56, 55
55, -1, 56
56, 59, 57
57, 59, 58
58, 60, 59
59, -1, 60
60, 63, 61
61, 63, 62
62, 64, 63
63, -1, 64
64, -1, 65
65, 68, 66
66, 68, 67
67, 69, 68
68, -1, 69
69, 72, 70
70, 72, 71
71, 73, 72
72, -1, 73
73, -1, 74
74, 77, 75
75, 77, 76
76, 78, 77
77, -1, 78
78, 80, 79
79, 81, 80
80, -1, 81
81, 84, 82
82, 84, 83
83, 85, 84
84, -1, 85
85, -1, 86
86, 88, 87
87, 89, 88
88, 90, 89
89, -1, 90
90, 93, 91
91, 93, 92
92, 94, 93
93, -1, 94
94, -1, 95
95, 98, 96
96, 98, 97
97, 99, 98
98, -1, 99
99, 102, 100
100, 102, 101
101, 103, 102
102, -1, 103
103, -1, 104
104, -1, 105
105, -1, -1
